content,score,at,bank,source
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12 15:41:25,BOA,Google Play
Improved to be the best,5,2025-03-11 05:32:31,BOA,Google Play
BoA,5,2025-03-11 03:51:57,BOA,Google Play
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11 02:22:01,BOA,Google Play
BoA Greqt Ethiopian bank.,5,2025-03-11 01:31:05,BOA,Google Play
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10 13:11:15,BOA,Google Play
Almost better compared to cbe where it is not qualified for,4,2025-03-09 04:50:02,BOA,Google Play
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09 04:34:30,BOA,Google Play
Wonderfull app,5,2025-03-08 02:23:26,BOA,Google Play
i can't use this app why?,5,2025-03-07 06:28:00,BOA,Google Play
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06 14:44:28,BOA,Google Play
Wow,4,2025-03-05 13:58:05,BOA,Google Play
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05 07:03:56,BOA,Google Play
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04 12:03:40,BOA,Google Play
Good app,5,2025-03-03 08:47:22,BOA,Google Play
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03 01:24:29,BOA,Google Play
It has good features but sometimes it doesn't work...0,1,2025-03-02 09:02:17,BOA,Google Play
Very poor proformance,1,2025-03-01 15:02:44,BOA,Google Play
It's not opening. Really frustrating,1,2025-03-01 09:18:34,BOA,Google Play
Verry Amazing App from all IB,5,2025-03-01 03:35:08,BOA,Google Play
Not working on this days,1,2025-02-26 05:29:28,BOA,Google Play
Thank you BoA,5,2025-02-23 03:06:47,BOA,Google Play
best banking app in the wworld,5,2025-02-22 11:58:17,BOA,Google Play
Nice app and it's easy to use,5,2025-02-21 04:41:42,BOA,Google Play
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15 10:15:50,BOA,Google Play
This is help full i like ittttt,5,2025-02-14 13:09:06,BOA,Google Play
The is not functional at all?,2,2025-02-12 03:31:48,BOA,Google Play
Best bank,5,2025-02-08 03:08:52,BOA,Google Play
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07 01:28:37,BOA,Google Play
good,5,2025-02-04 23:32:27,BOA,Google Play
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04 00:48:51,BOA,Google Play
I have been using this app for two years.It is amazing.,5,2025-01-31 16:18:26,BOA,Google Play
Good 👍,5,2025-01-31 09:46:28,BOA,Google Play
Sad experience,1,2025-01-30 12:27:28,BOA,Google Play
Always do update and that is annoying,3,2025-01-27 01:11:12,BOA,Google Play
"Best app, somehow waiting a few minutes",5,2025-01-23 08:02:28,BOA,Google Play
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-21 22:05:22,BOA,Google Play
Whenever I try to sign in app close please fixed it out,2,2025-01-21 11:34:22,BOA,Google Play
Beter,5,2025-01-21 04:47:47,BOA,Google Play
Boa,4,2025-01-18 08:17:34,BOA,Google Play
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18 05:33:28,BOA,Google Play
Aadan Axmed Barkhadle,5,2025-01-17 11:23:05,BOA,Google Play
😡😡😡🤬🤬🤬,1,2025-01-16 04:46:26,BOA,Google Play
Horrible customer service and app crashes Horrible!!,1,2025-01-15 05:24:17,BOA,Google Play
I love it,5,2025-01-14 03:17:47,BOA,Google Play
Best,5,2025-01-14 03:14:00,BOA,Google Play
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13 07:45:23,BOA,Google Play
Good🙏,5,2025-01-11 18:27:14,BOA,Google Play
Like to much,5,2025-01-11 02:43:49,BOA,Google Play
Thank you,5,2025-01-10 11:24:54,BOA,Google Play
Perfect,5,2025-01-09 11:02:07,BOA,Google Play
The best of best,5,2025-01-09 07:57:55,BOA,Google Play
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07 04:26:17,BOA,Google Play
Boa,5,2025-01-06 00:43:09,BOA,Google Play
Great 👍,5,2025-01-04 08:59:09,BOA,Google Play
Fast and suitable for the customers.,5,2025-01-04 00:16:44,BOA,Google Play
Good 👍,5,2025-01-03 12:59:49,BOA,Google Play
Good app and helpful,5,2025-01-03 07:51:42,BOA,Google Play
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-02 23:56:58,BOA,Google Play
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02 07:31:28,BOA,Google Play
It doesn't work at all.,2,2025-01-02 05:24:09,BOA,Google Play
this app is not available,1,2025-01-02 00:46:51,BOA,Google Play
Best,5,2025-01-01 11:59:05,BOA,Google Play
Wow what amazing,5,2024-12-30 13:45:24,BOA,Google Play
love it,5,2024-12-30 11:30:43,BOA,Google Play
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30 08:08:06,BOA,Google Play
Lemn embi yilal??,5,2024-12-30 08:01:11,BOA,Google Play
Good,5,2024-12-30 05:20:13,BOA,Google Play
It's useless app downgraded.,1,2024-12-29 05:19:05,BOA,Google Play
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27 05:28:26,BOA,Google Play
Nice,5,2024-12-26 11:09:33,BOA,Google Play
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-23 22:27:54,BOA,Google Play
አይሰራም ሼም ነው፤,1,2024-12-23 09:03:45,BOA,Google Play
Not that much bad,3,2024-12-22 03:12:44,BOA,Google Play
Fine,5,2024-12-20 18:16:46,BOA,Google Play
The dirtiest application ever seen...,1,2024-12-20 11:09:23,BOA,Google Play
Nic ap,5,2024-12-19 12:08:34,BOA,Google Play
The forest app ever,1,2024-12-19 03:07:06,BOA,Google Play
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-18 22:02:34,BOA,Google Play
Bank of abissena,1,2024-12-17 13:21:09,BOA,Google Play
Good,3,2024-12-16 11:29:33,BOA,Google Play
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16 05:02:26,BOA,Google Play
GOOD,5,2024-12-14 17:02:24,BOA,Google Play
The worst banking app ever. Never works!,1,2024-12-14 00:45:35,BOA,Google Play
Poorly functioning app,3,2024-12-13 04:55:02,BOA,Google Play
Very nice,5,2024-12-13 02:57:24,BOA,Google Play
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-10 22:08:14,BOA,Google Play
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10 01:43:57,BOA,Google Play
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08 15:16:05,BOA,Google Play
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07 14:40:19,BOA,Google Play
Nice,5,2024-12-07 10:00:27,BOA,Google Play
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06 09:19:23,BOA,Google Play
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02 13:19:07,BOA,Google Play
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01 06:52:25,BOA,Google Play
My attention is very important because it will be the most difficult time for me,5,2024-11-30 12:23:48,BOA,Google Play
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-28 22:40:35,BOA,Google Play
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28 03:44:51,BOA,Google Play
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28 02:17:48,BOA,Google Play
exellent digital transaction of money,5,2024-11-26 16:10:14,BOA,Google Play
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26 07:05:22,BOA,Google Play
Best,5,2024-11-25 11:10:50,BOA,Google Play
Great,5,2024-11-25 09:26:59,BOA,Google Play
👏👏👏,5,2024-11-24 13:31:39,BOA,Google Play
Money,5,2024-11-24 02:31:41,BOA,Google Play
It needs more improvment,2,2024-11-24 01:17:29,BOA,Google Play
Hey Google,5,2024-11-21 14:51:14,BOA,Google Play
Good app,5,2024-11-21 09:40:34,BOA,Google Play
ab,3,2024-11-20 14:26:08,BOA,Google Play
Ademtahir,5,2024-11-20 05:41:49,BOA,Google Play
✌️✌️,5,2024-11-20 04:25:55,BOA,Google Play
Please this app on my android phone,3,2024-11-20 01:25:05,BOA,Google Play
GOAT 🐐 🐐,5,2024-11-19 08:48:41,BOA,Google Play
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19 06:12:49,BOA,Google Play
Fast and reliable,5,2024-11-18 10:58:47,BOA,Google Play
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17 14:11:45,BOA,Google Play
Very good,5,2024-11-14 07:52:39,BOA,Google Play
One of the poorest mobile banking system,1,2024-11-13 05:35:40,BOA,Google Play
❤❤❤❤❤❤,5,2024-11-12 13:39:07,BOA,Google Play
Oene,5,2024-11-12 09:20:14,BOA,Google Play
i find it interesting specially in reciept downloading,1,2024-11-12 08:43:41,BOA,Google Play
it good,5,2024-11-12 07:50:38,BOA,Google Play
"This app crashes everytime, please fix it",1,2024-11-12 07:08:59,BOA,Google Play
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12 05:55:52,BOA,Google Play
I need a support the app is not working,5,2024-11-12 05:10:33,BOA,Google Play
kalid,5,2025-06-07 17:04:22,Dashen Bank,Google Play
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07 03:40:29,Dashen Bank,Google Play
love,3,2025-06-05 17:15:44,Dashen Bank,Google Play
መቸሸጠ,5,2025-06-03 12:40:31,Dashen Bank,Google Play
wow,5,2025-06-03 10:30:11,Dashen Bank,Google Play
gadaa,5,2025-06-01 10:10:53,Dashen Bank,Google Play
Massive upgrade from the Amole app.,5,2025-05-31 16:04:04,Dashen Bank,Google Play
good,4,2025-05-31 15:39:35,Dashen Bank,Google Play
very good for this app,5,2025-05-31 14:03:18,Dashen Bank,Google Play
top,5,2025-05-31 13:25:21,Dashen Bank,Google Play
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31 05:24:07,Dashen Bank,Google Play
Wow,5,2025-05-30 04:16:47,Dashen Bank,Google Play
good,5,2025-05-30 04:13:17,Dashen Bank,Google Play
wow to it saff and this app,5,2025-05-30 03:11:47,Dashen Bank,Google Play
it too slow,3,2025-05-29 06:26:30,Dashen Bank,Google Play
ዳሽን ባንክ ይለያል,4,2025-05-28 12:34:49,Dashen Bank,Google Play
real life changer,5,2025-05-28 05:01:56,Dashen Bank,Google Play
👍👍👍,5,2025-05-28 04:47:32,Dashen Bank,Google Play
good,5,2025-05-28 04:35:42,Dashen Bank,Google Play
nice application,5,2025-05-27 07:31:31,Dashen Bank,Google Play
good,5,2025-05-27 04:24:34,Dashen Bank,Google Play
wow,5,2025-05-27 03:54:43,Dashen Bank,Google Play
useless app ever loading take long,1,2025-05-27 02:19:32,Dashen Bank,Google Play
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26 12:16:29,Dashen Bank,Google Play
very useful App,1,2025-05-26 06:10:58,Dashen Bank,Google Play
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26 01:21:54,Dashen Bank,Google Play
Wawww,5,2025-05-24 09:55:43,Dashen Bank,Google Play
it is good but some times says duplicate transaction why?,5,2025-05-24 01:07:56,Dashen Bank,Google Play
very Nice,5,2025-05-23 05:09:24,Dashen Bank,Google Play
its best,5,2025-05-22 20:53:15,Dashen Bank,Google Play
it is not as good as to the other mobile bank app.,1,2025-05-22 12:35:38,Dashen Bank,Google Play
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22 02:42:22,Dashen Bank,Google Play
wow,5,2025-05-20 07:32:56,Dashen Bank,Google Play
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20 06:22:54,Dashen Bank,Google Play
good,5,2025-05-20 02:42:35,Dashen Bank,Google Play
its best,5,2025-05-19 02:00:24,Dashen Bank,Google Play
The best app ever in finance sector,5,2025-05-18 15:01:50,Dashen Bank,Google Play
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18 06:32:58,Dashen Bank,Google Play
dashen bank or dashen super app?,1,2025-05-17 09:44:29,Dashen Bank,Google Play
wowwwe app,5,2025-05-17 04:30:07,Dashen Bank,Google Play
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17 04:03:32,Dashen Bank,Google Play
good,5,2025-05-16 14:56:27,Dashen Bank,Google Play
always lagging,1,2025-05-16 09:30:56,Dashen Bank,Google Play
Amazing Application...,5,2025-05-16 04:23:47,Dashen Bank,Google Play
Fantastic,5,2025-05-16 03:07:49,Dashen Bank,Google Play
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15 15:32:51,Dashen Bank,Google Play
its my choice,5,2025-05-15 14:15:44,Dashen Bank,Google Play
wow apo,5,2025-05-15 04:28:50,Dashen Bank,Google Play
awesome app keep going,5,2025-05-14 03:10:44,Dashen Bank,Google Play
wow,5,2025-05-14 02:44:58,Dashen Bank,Google Play
👍,5,2025-05-14 01:07:48,Dashen Bank,Google Play
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-13 22:39:16,Dashen Bank,Google Play
Game changer,5,2025-05-13 15:12:29,Dashen Bank,Google Play
Totally amazing,5,2025-05-13 12:46:18,Dashen Bank,Google Play
super 😎,5,2025-05-13 07:15:20,Dashen Bank,Google Play
what a helpful app!!!!,5,2025-05-13 05:09:55,Dashen Bank,Google Play
Good,4,2025-05-13 04:42:22,Dashen Bank,Google Play
nice,5,2025-05-13 03:46:37,Dashen Bank,Google Play
wow,5,2025-05-13 01:21:51,Dashen Bank,Google Play
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12 09:03:18,Dashen Bank,Google Play
fast,5,2025-05-12 04:18:46,Dashen Bank,Google Play
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12 02:36:47,Dashen Bank,Google Play
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10 03:01:21,Dashen Bank,Google Play
good,5,2025-05-09 12:44:41,Dashen Bank,Google Play
Amazing app super easy to use and best design. loved it.,5,2025-05-09 11:44:58,Dashen Bank,Google Play
its the best ever,5,2025-05-08 17:18:26,Dashen Bank,Google Play
nice,5,2025-05-08 04:37:34,Dashen Bank,Google Play
excellent game changer App,5,2025-05-08 04:07:07,Dashen Bank,Google Play
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03 08:53:37,Dashen Bank,Google Play
it seems me logging out within minutes,1,2025-05-03 02:43:29,Dashen Bank,Google Play
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03 01:09:08,Dashen Bank,Google Play
yes i want dashen super open,5,2025-05-02 16:55:12,Dashen Bank,Google Play
Best App,5,2025-05-02 03:45:22,Dashen Bank,Google Play
faster than this version,5,2025-04-30 21:20:47,Dashen Bank,Google Play
"Best UI mobile banking app, props to design team",5,2025-04-30 12:43:36,Dashen Bank,Google Play
thank you,4,2025-04-30 09:28:14,Dashen Bank,Google Play
great app,5,2025-04-30 07:55:56,Dashen Bank,Google Play
bad.,1,2025-04-30 04:54:32,Dashen Bank,Google Play
Dashen bank always one step ahead,5,2025-04-30 00:05:39,Dashen Bank,Google Play
dashen super app is secure band very easy,5,2025-04-29 08:48:26,Dashen Bank,Google Play
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29 08:27:54,Dashen Bank,Google Play
best app I have ever seen,5,2025-04-29 03:49:49,Dashen Bank,Google Play
best of best,5,2025-04-29 03:37:26,Dashen Bank,Google Play
waw,5,2025-04-28 07:05:09,Dashen Bank,Google Play
best app,5,2025-04-28 05:15:07,Dashen Bank,Google Play
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28 03:11:58,Dashen Bank,Google Play
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28 03:08:41,Dashen Bank,Google Play
wow appl,5,2025-04-28 02:54:34,Dashen Bank,Google Play
why do i have to change a pin number i use my finger print so dummy,1,2025-04-26 21:44:20,Dashen Bank,Google Play
very nice,5,2025-04-26 15:56:19,Dashen Bank,Google Play
great,4,2025-04-26 11:06:27,Dashen Bank,Google Play
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25 04:43:56,Dashen Bank,Google Play
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24 06:56:14,Dashen Bank,Google Play
Very easy and Fast.,5,2025-04-24 04:37:47,Dashen Bank,Google Play
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24 04:36:51,Dashen Bank,Google Play
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24 02:32:35,Dashen Bank,Google Play
execellent,5,2025-04-24 02:23:20,Dashen Bank,Google Play
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23 14:09:47,Dashen Bank,Google Play
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23 13:44:20,Dashen Bank,Google Play
it is incredible product.,5,2025-04-23 09:09:24,Dashen Bank,Google Play
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23 09:01:37,Dashen Bank,Google Play
best app,5,2025-04-23 06:36:19,Dashen Bank,Google Play
ok,5,2025-04-23 06:33:32,Dashen Bank,Google Play
"It's an amazing app, experience it!!",5,2025-04-23 03:41:16,Dashen Bank,Google Play
This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23 02:06:58,Dashen Bank,Google Play
It is the best application!!!,5,2025-04-22 14:36:32,Dashen Bank,Google Play
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22 08:36:39,Dashen Bank,Google Play
its features are so dynamic,5,2025-04-22 07:30:51,Dashen Bank,Google Play
fast &Friendly user Application.,5,2025-04-22 06:53:47,Dashen Bank,Google Play
"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22 06:46:52,Dashen Bank,Google Play
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22 06:44:44,Dashen Bank,Google Play
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22 06:24:34,Dashen Bank,Google Play
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22 05:44:11,Dashen Bank,Google Play
Great for everyday banking and payments on the go,5,2025-04-22 05:37:27,Dashen Bank,Google Play
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22 03:18:12,Dashen Bank,Google Play
making transactions has never been easier. the new update is just amazing,5,2025-04-22 02:30:40,Dashen Bank,Google Play
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22 02:22:10,Dashen Bank,Google Play
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22 02:02:26,Dashen Bank,Google Play
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22 01:55:03,Dashen Bank,Google Play
Convenient!,5,2025-04-22 01:52:38,Dashen Bank,Google Play
It is an amazing application that meets the needs of customers.,5,2025-04-22 01:51:42,Dashen Bank,Google Play
Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22 01:49:45,Dashen Bank,Google Play
the best Supper App ever,5,2025-04-22 01:16:34,Dashen Bank,Google Play
"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22 01:09:10,Dashen Bank,Google Play
"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22 01:05:12,Dashen Bank,Google Play
Dashen bank is my number one choice,5,2025-04-22 01:04:41,Dashen Bank,Google Play
Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-21 23:14:51,Dashen Bank,Google Play
"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-21 16:50:10,Dashen Bank,Google Play
"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21 16:28:44,Dashen Bank,Google Play
it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21 15:53:58,Dashen Bank,Google Play
"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21 15:32:42,Dashen Bank,Google Play
A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21 15:21:45,Dashen Bank,Google Play
"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-21 14:28:50,Dashen Bank,Google Play
Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-21 14:20:16,Dashen Bank,Google Play
"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-21 13:35:46,Dashen Bank,Google Play
"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21 13:34:53,Dashen Bank,Google Play
"This app has everything I was looking for, dashen is becoming a grandmaster.",5,2025-04-21 13:34:23,Dashen Bank,Google Play
Very convenient,5,2025-04-21 13:12:22,Dashen Bank,Google Play
"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21 13:03:27,Dashen Bank,Google Play
wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21 12:14:21,Dashen Bank,Google Play
"Dashen SuperApp the ultimate all-in-one solution! From banking and shopping to bill payments, everything you need is right at your fingertips. Life just got a whole lot easier!",5,2025-04-21 11:19:05,Dashen Bank,Google Play
"It is,really super because of its unique offerings to individuals and businesses.It is a secure UX first app intended to cater comprehensive digital meeds.I am also happy to know that Dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21 10:57:03,Dashen Bank,Google Play
"the very easy, secured, fast and multifunctional dashen supper application I ever seen. dashen really one steps ahead!!!",5,2025-04-21 10:46:15,Dashen Bank,Google Play
"One app for everything! I can shop, manage my bank account , and do so much more . Truly a super app",5,2025-04-21 10:44:31,Dashen Bank,Google Play
one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21 10:40:32,Dashen Bank,Google Play
"Dashen Bank super App is the most suitable, reliable, and fast digital banking system.",5,2025-04-21 10:40:23,Dashen Bank,Google Play
Excellent app.,5,2025-04-21 10:32:20,Dashen Bank,Google Play
This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21 10:13:56,Dashen Bank,Google Play
thanks again,5,2025-04-21 09:42:21,Dashen Bank,Google Play
Super Easy To Use and Fast Transaction.,5,2025-04-21 09:28:55,Dashen Bank,Google Play
"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21 09:21:18,Dashen Bank,Google Play
"i can't recommend the Dashen Super App enough! This app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. It combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks The user interface is modern, intuitive, and super responsive, making navigation a breeze. Whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21 09:08:23,Dashen Bank,Google Play
"The app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. It’s saved me a lot of time and made banking way more convenient. Definitely worth checking out!",5,2025-04-21 09:01:01,Dashen Bank,Google Play
what an App,5,2025-04-21 08:59:35,Dashen Bank,Google Play
The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21 08:41:06,Dashen Bank,Google Play
"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21 08:40:38,Dashen Bank,Google Play
